"Type","Code","Name","LEI code","Address"
"AIFM REG","A00000151","SOLAR WORLD INVEST FUND SIF","549300FU8O093EPMQY28","3, rue Gabriel Lippmann L-5365 Munsbach"
"AIFM REG","A00000155","ASP-LUX SICAR S.A.","529900CDL930VL95MI23","6C, route de Trèves L-2633 Senningerberg"
"AIFM REG","A00000157","DBI PRIVATE EQUITY FUND S.A.","549300O3DCG45JHOSD46","13, rue Edward Steichen L-2540 Luxembourg"
"AIFM REG","A00000158","WEALTH VENTURE - FUND SICAR S.A.","89450034E7B85HSQKT18","3, place de Clairefontaine L-1341 Luxembourg"
"AIFM REG","A00000160","KETTENHEIM CAPITAL SA, SICAV-FIS","222100WESU8HXMLDG227","51-53, rue de Merl L-2146 Luxembourg"
"AIFM REG","A00000125","LIVELIHOODS FUND SICAV SIF","213800KAV4M7SCIXA247","5, allée Scheffer L-2520 Luxembourg"
"AIFM REG","A00000183","MICROFINANCE INITIATIVE FOR ASIA (MIFA) DEBT FUND SA, SICAV-SIF","5493001LO8TP6KX84T33","31, Z.A. Bourmicht L-8070 Bertrange"
"AIFM REG","A00000215","LF FUNDS","549300LZFS2Y9O0FQ236","5, allée Scheffer L-2520 Luxembourg"
"AIFM REG","A00000218","CAPMAN NORDIC REAL ESTATE MANAGER S.A.","","1B, Heienhaff L-1736 Senningerberg"
"AIFM REG","A00000236","LCN MANAGEMENT COMPANY S.A R.L.","","2, rue Edward Steichen L-2540 Luxembourg"
"AIFM REG","A00000248","CREATHOR VENTURE MANAGEMENT LUXEMBOURG","","54, boulevard Napoléon 1e L-2210 Luxembourg"
"AIFM REG","A00000312","ACTIVE PATRIMONY","","1B, rue Jean Piret L-2350 Luxembourg"
"AIFM REG","A00000320","ANCOR SICAV-SIF","222100Z9V8RCKG4M6F58","30, boulevard Royal L-2449 Luxembourg"
"AIFM REG","A00000324","THE ENTERPRISE EXPANSION FUND","5299009057HYYQQE3N32","1C, rue Gabriel Lippmann L-5365 Munsbach"
"AIFM REG","A00000342","SLOVAK VENTURE FUND S.C.A., SICAR","984500E8DF646F1AF752","11, avenue Emile Reuter L-2420 Luxembourg"
"AIFM REG","A00000344","EUROPEAN ANGELS FUND S.C.A. SICAR","","5, Heienhaff L-1736 Senningerberg"
"AIFM REG","A00000270","ALFA 1 CEE INVESTMENTS S.A., SICAV-SIF","222100MGE9ZE16X9NQ33","11-13, boulevard de la Foire L-1528 Luxembourg"
"AIFM REG","A00000353","CYGNUS REAL ESTATE MANAGEMENT COMPANY S.A R.L.","894500THMS7QSA6QGJ40","16, rue Gabriel Lippmann L-5365 Munsbach"
"AIFM REG","A00000380","EXPLORA","","12F, rue Guillaume J. Kroll L-1882 Luxembourg"
"AIFM REG","A00000427","BE INTERNATIONAL EQUITIES S.C.A., SICAV-SIF","254900V582B78132M090","2, avenue du Blues L-4368 Belvaux"
"AIFM REG","A00000450","DELTA SPAIN S.A R.L., SICAR","222100161YB8S3Y7ON19","30, boulevard Royal L-2449 Luxembourg"
"AIFM REG","A00000451","XIROM INVESTMENTS SICAV-FIS","222100QVMP16YVTLH626","2, place de Strasbourg L-2562 Luxembourg"
"AIFM REG","A00000453","PRIVATE MARKET OPPORTUNITIES FUND SICAV SIF S.A.","549300I3QHA3LURN0I33","13, rue des Bains L-1212 Luxembourg"
"AIFM REG","A00000461","HOTEP","2138006OIZKEF42CJC31","1B, rue Jean Piret L-2350 Luxembourg"
"AIFM REG","A00000465","L-GAM INVESTMENTS 2 GP","","11-13, boulevard de la Foire L-1528 Luxembourg"
"AIFM REG","A00000466","L-GAM INVESTMENTS GP","","11-13, boulevard de la Foire L-1528 Luxembourg"
"AIFM REG","A00000337","AUGUST MANAGEMENT S.A.","894500R6Y6CGZ9ZK3596","51-53, rue de Merl L-2146 Luxembourg"
"AIFM REG","A00000484","HEALTH FOR LIFE MANAGEMENT","213800G2BPHP65D5UV58","17, boulevard F.W. Raiffeisen L-2411 Luxembourg"
"AIFM REG","A00000555","ARGUS FUND","213800WB94P43CQIXN27","15, avenue John F. Kennedy L-1855 Luxembourg"
