"Type","Code","Name","LEI code","Address"
"AIFM AUT","A00000348","OFI INVEST LUX","213800L51WFQ2N88FA12","20, rue Dicks L-1417 Luxembourg"
"AIFM AUT","A00000598","FUNDS AVENUE S.A.","2221002SZYQFJ7Z4PB69","6, rue Dicks L-1417 Luxembourg"
"AIFM AUT","A00003336","1 ASSET MANAGEMENT LUXEMBOURG","5299003HIG8MBHLZK902","6D, route de Trèves L-2633 Senningerberg"
"AIFM AUT","A00000575","J. SAFRA SARASIN FUND MANAGEMENT (LUXEMBOURG) S.A.","549300QVJTYK6E1EIO26","19, boulevard Joseph II L-1840 Luxembourg"
"AIFM AUT","A00000152","IDI EMERGING MARKETS PARTNERS","984500D946741BG3C081","128, boulevard de la Petrusse L-2330 Luxembourg"
"AIFM AUT","A00004012","GREEN ARROW CAPITAL AIFM SARL","636700S8DFQA41ASEZ75","3, rue de Turi L-3378 Livange"
"AIFM AUT","A00001394","FLE","8945009VZ2O84KVYPI85","41, avenue de la Liberté L-1931 Luxembourg"
"AIFM AUT","A00001375","CHENAVARI INVESTMENT MANAGERS (LUXEMBOURG) S.A R.L.","2221002I7YLPYESJP112","2, boulevard de la Foire L-1528 Luxembourg"
"AIFM AUT","A00002088","APHEON MANAGEMENT","894500J1H5R68R1MYE74","19-21, route d'Arlon L-8009 Strassen"
"AIFM AUT","A00004005","HARRISON STREET SERVICES S.À R.L.","213800QSROEBPRTT1U74","53, Boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00002399","THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.","549300CN40D22L8BMK21","6E, route de Trèves L-2633 Senningerberg"
"AIFM AUT","A00004007","RENAISSANCE AIFM S.À R.L.","213800DTBI1FP473NN45","10, rue Antoine Jans L-1820 Luxembourg"
"AIFM AUT","A00001868","GARBE LUXEMBURG INVESTMENT MANAGEMENT S.À R.L.","529900HTWUQJY0XOAP92","45, boulevard Prince Henri L-1724 Luxembourg"
"AIFM AUT","A00000763","BNP PARIBAS ASSET MANAGEMENT LUXEMBOURG","B25DM5T7808MMC5QRG60","60, avenue John F. Kennedy L-1855 Luxembourg"
"AIFM AUT","A00001851","FREO INVESTMENT MANAGERS S.A R.L.","529900A4D9LJ46P3R356","6A, route de Trèves L-2633 Senningerberg"
"AIFM AUT","A00000713","CA INDOSUEZ FUND SOLUTIONS","5493001FE4TMI55TM266","12, rue Eugène Ruppert L-2453 Luxembourg"
"AIFM AUT","A00004159","U FUND SERVICES S.À R.L.","9845007B3F6B10D43A67","76, rue de Merl L-2146 Luxembourg"
